Complaint_Type,chat_message
Cleaning,Downtown sidewalks covered in bird poop! Power wash needed! 🧹
Pets Control,Lost dogs everywhere! Need better enforcement of leash laws! 🐕
Traffic,Rush hour is getting worse! Need smart traffic signals or smth! 😤
Roads Issues,Bridge construction taking forever! When will it end?? 🏗️
Security,Kids racing motorcycles on residential streets! Someone stop them! 🏍️
Noise,New restaurant's ventilation system sounds like a jet engine! 24/7! ✈️
Cleaning,People dumping furniture in empty lot on Grove St! Not cool! 🛋️
Pets Control,Neighbor's chickens keep escaping into everyone's yards! 🐔
Traffic,Bus stops blocking traffic flow on Main St! Need better design! 🚌
Roads Issues,Winter damaged roads need fixing before summer! Seriously! ❄️
Security,More streetlights needed near park entrance! Super dark! 🌑
Noise,Ice cream truck at 10PM?? Really?? Kids are sleeping! 🍦
Cleaning,Beach getting trashed every weekend! Need more bins! 🏖️
Pets Control,Snake spotted in park! Animal control where r u?? 🐍
Traffic,Delivery trucks blocking lanes during rush hour! Do something! 📦
Roads Issues,Bike lane paint completely worn off! Dangerous for cyclists! 🚲
Security,Car break-ins increasing in mall parking lot! Need cameras! 🎥
Noise,Church bells too loud and too early! Respect the neighborhood! ⛪
Cleaning,Wind blowing construction debris everywhere! Clean it up! 🌪️
Pets Control,Raccoons raiding trash cans every night! Help! 🦝
Traffic,School buses creating huge backups! Need better route planning! 🚌
Roads Issues,Crosswalk signals not working in downtown! Fix ASAP! 🚶‍♂️
Security,Teenagers hanging out behind store late night. Getting rowdy! 👥
Noise,New gym's CrossFit classes in parking lot! Too loud! 🏋️‍♀️
Cleaning,Park bathrooms are disgusting! Need daily cleaning! 🚽
Pets Control,Aggressive geese attacking people near pond! 🦢
Traffic,Construction + rush hour = nightmare on Bridge St! 😫
Roads Issues,Sinkhole forming on Cherry Lane! Getting bigger! ⚠️
Security,Garage door break-ins happening again! Increase patrols! 🚨
Noise,Bass from nightclub shaking our windows! Every weekend! 🎵
Cleaning,Graffiti all over new community center! Clean it up! 🎨
Pets Control,Wild turkeys chasing people on walking trail! 🦃
Traffic,Emergency vehicles can't get through Monroe St traffic! ⚠️
Roads Issues,Storm drain collapsed on Elm St! Major flooding! 💦
Security,People sleeping in park after hours. Need security! 🌙
Noise,Garbage trucks at 5AM? Seriously?? 🚛
Cleaning,Restaurant alley smells terrible! Health hazard! 🤢
Pets Control,Deer eating everyone's gardens! Need solution! 🦌
Traffic,High school parking causing neighborhood gridlock! 🚗
Roads Issues,Tree roots breaking up sidewalk on Park Ave! 🌳
Security,Mailbox break-ins reported! Need investigation! 📫
Noise,Train horns too loud at night! Need quiet zone! 🚂
Cleaning,Cigarette butts all over bus stops! Gross! 🚭
Pets Control,Neighbor's parrot screaming all day! Help! 🦜
Traffic,Road work during rush hour?? Bad planning! 🚧
Roads Issues,Loose manhole cover making loud noise! 🔧
Security,Bike thefts increasing at train station! 🚲
Noise,Kids racing ATVs in empty lot! Stop them! 🏍️
Cleaning,Storm knocked down branches everywhere! 🌪️
Pets Control,Unleashed dogs in children's playground! 🐕
Traffic,Double parking on Main St causing chaos! 📦
Roads Issues,Street light flickering for weeks! Fix it! 💡
Security,Shoplifting at corner store getting worse! 🏪
Noise,Neighbor's car alarm going off all night! 🚗
Cleaning,Leaves piling up & blocking drains! 🍂
Pets Control,Feral cats multiplying in alley! 😺
Traffic,School zone speeders every morning! 🏫
Roads Issues,Water main break creating ice hazard! 💧
Security,Vandals targeting park equipment! 🎪
Noise,Outdoor wedding venue too loud! 👰
Cleaning,Beach parking lot full of trash! 🏖️
Pets Control,Dog poop everywhere in park! 💩
Traffic,Delivery trucks blocking bike lanes! 🚚
Roads Issues,Guardrail damaged on Hill Rd! ⚠️
Security,Loitering outside convenience store 24/7! 🏪
Noise,Military jets too low over houses! ✈️
Cleaning,Weeds taking over public garden! 🌿
Pets Control,Loose horse on Main St! Someone help! 🐎
Traffic,GPS sending trucks down residential streets! 🚛
Roads Issues,Fallen stop sign at Oak & Elm! ⛔
Security,Package thieves in broad daylight! 📦
Noise,Landscapers with leaf blowers everyday! 🍂
Cleaning,River trail covered in dog waste! 🐕
Pets Control,Peacocks from zoo escaped again! 🦚
Traffic,Bridge traffic backed up for miles! 🌉
Roads Issues,Huge puddle forming after rain! 💧
Security,Kids climbing water tower again! 🗼
Noise,Rooster in residential area! Why?? 🐓
Cleaning,Mall parking lot never gets swept! 🏬
Pets Control,Bear spotted in neighborhood! 🐻
